mapping_id,bit_p,bit_q,word_definition,minimum_spacing,spacing_metric,retained,baseline_mapping
W_01_16,1,16,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_01_17,1,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_01_18,1,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_01_19,1,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_01_20,1,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_02_03,2,3,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_04,2,4,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_02_05,2,5,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_06,2,6,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_02_07,2,7,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_02_08,2,8,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_09,2,9,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_02_10,2,10,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_11,2,11,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_12,2,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_13,2,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_14,2,14,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_02_15,2,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_16,2,16,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_02_17,2,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_02_18,2,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_02_19,2,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_02_20,2,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_03_04,3,4,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_03_05,3,5,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_03_06,3,6,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_03_07,3,7,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_03_08,3,8,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_03_09,3,9,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_03_10,3,10,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_03_11,3,11,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_03_12,3,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_03_13,3,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_03_14,3,14,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_03_15,3,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_03_16,3,16,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_03_17,3,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_03_18,3,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_03_19,3,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_03_20,3,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_05,4,5,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_06,4,6,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_07,4,7,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_08,4,8,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_09,4,9,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_10,4,10,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_11,4,11,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_12,4,12,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_13,4,13,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_14,4,14,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_15,4,15,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_16,4,16,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_17,4,17,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_18,4,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_19,4,19,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_04_20,4,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_05_06,5,6,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_05_07,5,7,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_05_08,5,8,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_05_09,5,9,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_05_10,5,10,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_05_11,5,11,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_05_12,5,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_05_13,5,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_05_14,5,14,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_05_15,5,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_05_16,5,16,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_05_17,5,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_05_18,5,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_05_19,5,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_05_20,5,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_06_07,6,7,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_06_08,6,8,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_06_09,6,9,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_06_10,6,10,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_06_11,6,11,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_06_12,6,12,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_06_13,6,13,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_06_14,6,14,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_06_15,6,15,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_06_16,6,16,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_06_17,6,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_06_18,6,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_06_19,6,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_06_20,6,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_07_08,7,8,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_07_09,7,9,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_07_10,7,10,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_07_11,7,11,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_07_12,7,12,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_07_13,7,13,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_07_14,7,14,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_07_15,7,15,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_07_16,7,16,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_07_17,7,17,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_07_18,7,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_07_19,7,19,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_07_20,7,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_08_09,8,9,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_08_10,8,10,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_08_11,8,11,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_08_12,8,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_08_13,8,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_08_14,8,14,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_08_15,8,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_08_16,8,16,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_08_17,8,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_08_18,8,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_08_19,8,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_08_20,8,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_09_10,9,10,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_09_11,9,11,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_09_12,9,12,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_09_13,9,13,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_09_14,9,14,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_09_15,9,15,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_09_16,9,16,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_09_17,9,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_09_18,9,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_09_19,9,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_09_20,9,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_10_11,10,11,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_10_12,10,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_10_13,10,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_10_14,10,14,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_10_15,10,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_10_16,10,16,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_10_17,10,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_10_18,10,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_10_19,10,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_10_20,10,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_11_12,11,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_11_13,11,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_11_14,11,14,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_11_15,11,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_11_16,11,16,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_11_17,11,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_11_18,11,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_11_19,11,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_11_20,11,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_12_13,12,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_12_14,12,14,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_12_15,12,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_12_16,12,16,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_12_17,12,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_12_18,12,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_12_19,12,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_12_20,12,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_13_14,13,14,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_13_15,13,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_13_16,13,16,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_13_17,13,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_13_18,13,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_13_19,13,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_13_20,13,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_14_15,14,15,"pack(all A except p,q)",8,supplied-grid minimum,False,False
W_14_16,14,16,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_14_17,14,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_14_18,14,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_14_19,14,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_14_20,14,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_15_16,15,16,"pack(all A except p,q)",4,supplied-grid minimum,False,False
W_15_17,15,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_15_18,15,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_15_19,15,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_15_20,15,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_16_17,16,17,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_16_18,16,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_16_19,16,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_16_20,16,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_17_18,17,18,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_17_19,17,19,"pack(all A except p,q)",2,supplied-grid minimum,False,False
W_17_20,17,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_18_19,18,19,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_18_20,18,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
W_19_20,19,20,"pack(all A except p,q)",1,supplied-grid minimum,False,False
